City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
630,Gushikawa,JP,72.99,26.3544,127.8686,Kirari Guest House
632,Tchollire,CM,66.96,8.4022,14.1698,"Auberge ""l'amicale"""
635,Safaga,EG,68.36,26.7292,33.9365,Lamar Resort Abu Soma
638,Barranca,PE,65.21,-10.75,-77.7667,El Olivar Hospedaje
639,Bubaque,GW,81.75,11.2833,-15.8333,"Casa Dora, Bubaque"
640,Labuan,MY,84.56,5.2767,115.2417,Tiara Labuan Hotel
643,Huzhou,CN,60.6,30.8703,120.0933,Huzhou Plaza Hotel
648,Bonthe,SL,77.38,7.5264,-12.505,Bonthe Holiday Village
649,Thanyaburi,TH,80.96,14.0211,100.7343,Hotel RIDE 'n Lazy @ Thai Wake Park
651,Bilma,NE,61.25,18.6853,12.9164,Expeditions Ténére voyages
652,Santiago Del Estero,AR,72.59,-27.7951,-64.2615,Apartamentos Castelli 90
653,Pisco,PE,66.25,-13.7,-76.2167,Hotel San Isidro Oficial
654,Oranjestad,AW,80.55,12.524,-70.027,Divi Village Golf & Beach Resort
655,Basmat,IN,73.27,19.3167,77.1667,Anwar Shaikh
659,Ureki,GE,64.36,41.9956,41.7786,Hotel Ritsa
660,Raga,SS,71.11,8.4596,25.678, 
662,Tura,IN,74.19,25.5198,90.2201,Hotel RIKMAN Continental
663,Maragogi,BR,75.36,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
664,Manadhoo,MV,80.69,5.7667,73.3833,Bon Abri maldives
665,Surt,LY,63.34,31.2089,16.5887,فندق المدينة
667,Huarmey,PE,66.25,-10.0681,-78.1522,Hotel Miramar
669,Ilobu,NG,68.63,7.8333,4.4833,Delightsome Hotel and Resorts Ltd
671,Yishui,CN,61.14,35.7847,118.6281,Nationality Hotel
674,Chibombo,ZM,64.67,-14.6569,28.0706,Chibombo District Council Guest House
675,Saint-Pierre,RE,82.56,-21.3393,55.4781,Alize Plage
676,Tateyama,JP,65.21,34.9833,139.8667,Tateyama Seaside Hotel
680,Uribia,CO,77.61,11.7139,-72.266,Hotel Uribia
681,Mount Gambier,AU,63.68,-37.8333,140.7667,The Commodore
682,Aquiraz,BR,80.19,-3.9014,-38.3911,Pousada Rua Camurupim
684,Tirat Karmel,IL,65.68,32.7617,34.9719,Marom Hotel Haifa מלון מרום
685,Anqing,CN,66.87,30.5092,117.0506,Hongtian Hotel
686,Aden,YE,79.27,12.7794,45.0367,Sama Emirate Hotel
687,Tocopilla,CL,67.84,-22.092,-70.1979,Hotel Galvarino
690,Tingi,TZ,65.01,-11.3,35.0333, 
692,Matamoros,MX,66.11,25.5333,-103.25,Quinta Belem
